sHomeName,sAwayName,iHomeGoals,iAwayGoals,sRegularPP,sCalendar,sMatchInfo,sStadium,sSpectators,dDate,iSpectators,sHome,sAway
MHC MIKRON Nové Zámky ,HC ‘05 iClinic Banská Bystrica,3,2,," Utorok 15.01.2019, 18:30"," 43. kolo, Číslo zápasu 254", ZŠ Nové Zámky, 852 divákov,1/15/2019 18:30,852,NZ,BB
DVTK Jegesmedvék Miskolc,HK DUKLA Trenčín,5,4,pp," Utorok 15.01.2019, 18:30"," 43. kolo, Číslo zápasu 255"," Ice rink Miskolc, HUN", 1010 divákov,1/15/2019 18:30,1010,MI,TN
HC 07 Detva ,MAC Újbuda ,3,7,," Utorok 15.01.2019, 18:00"," 43. kolo, Číslo zápasu 256", ZŠ Detva, 265 divákov,1/15/2019 18:00,265,DT,BU
HKM Zvolen,HK Nitra,1,0,," Utorok 15.01.2019, 18:00"," 43. kolo, Číslo zápasu 257", ZŠ Zvolen, 1427 divákov,1/15/2019 18:00,1427,ZV,NR
HC Košice,MsHK DOXXbet Žilina,4,5,sn," Utorok 15.01.2019, 17:30"," 43. kolo, Číslo zápasu 258", STEEL Arena Košice, 2515 divákov,1/15/2019 17:30,2515,KE,ZI
MHk 32 Liptovský Mikuláš,HC Košice,1,2,," Sobota 26.01.2019, 17:00"," 44. kolo, Číslo zápasu 259", ZŠ Spišská Nová Ves, 524 divákov,1/26/2019 17:00,524,LM,KE
MsHK DOXXbet Žilina,HKM Zvolen,0,5,," Nedeľa 27.01.2019, 17:00"," 44. kolo, Číslo zápasu 260", ZŠ Žilina, 543 divákov,1/27/2019 17:00,543,ZI,ZV
HK Nitra,HC 07 Detva ,8,2,," Nedeľa 27.01.2019, 16:00"," 44. kolo, Číslo zápasu 261", Nitra Aréna, 1727 divákov,1/27/2019 16:00,1727,NR,DT
MAC Újbuda ,DVTK Jegesmedvék Miskolc,0,2,," Nedeľa 27.01.2019, 17:30"," 44. kolo, Číslo zápasu 262"," Ice rink MAC Budapest, HUN", 1100 divákov,1/27/2019 17:30,1100,BU,MI
HK DUKLA Trenčín,MHC MIKRON Nové Zámky ,1,2,," Nedeľa 27.01.2019, 17:00"," 44. kolo, Číslo zápasu 263"," ZŠ Pavla Demitru, Trenčín", 2886 divákov,1/27/2019 17:00,2886,TN,NZ
HC ‘05 iClinic Banská Bystrica,HK Poprad,3,2,," Nedeľa 27.01.2019, 16:00"," 44. kolo, Číslo zápasu 264", ZŠ Banská Bystrica, 2488 divákov,1/27/2019 16:00,2488,BB,PP
MHk 32 Liptovský Mikuláš,HC ‘05 iClinic Banská Bystrica,5,3,," Nedeľa 20.01.2019, 15:00"," 45. kolo, Číslo zápasu 265", ZŠ Spišská Nová Ves, 315 divákov,1/20/2019 15:00,315,LM,BB
HK DUKLA Trenčín,HK Poprad,2,1,sn," Nedeľa 20.01.2019, 17:00"," 45. kolo, Číslo zápasu 266"," ZŠ Pavla Demitru, Trenčín", 2684 divákov,1/20/2019 17:00,2684,TN,PP
MAC Újbuda ,MHC MIKRON Nové Zámky ,0,5,," Nedeľa 20.01.2019, 18:00"," 45. kolo, Číslo zápasu 267"," Ice rink MAC Budapest, HUN", 635 divákov,1/20/2019 18:00,635,BU,NZ
HK Nitra,DVTK Jegesmedvék Miskolc,1,2,pp," Nedeľa 20.01.2019, 16:00"," 45. kolo, Číslo zápasu 268", Nitra Aréna, 1648 divákov,1/20/2019 16:00,1648,NR,MI
MsHK DOXXbet Žilina,HC 07 Detva ,4,3,," Nedeľa 20.01.2019, 17:00"," 45. kolo, Číslo zápasu 269", ZŠ Žilina, 506 divákov,1/20/2019 17:00,506,ZI,DT
HC Košice,HKM Zvolen,4,3,sn," Nedeľa 20.01.2019, 16:00"," 45. kolo, Číslo zápasu 270", STEEL Arena Košice, 3762 divákov,1/20/2019 16:00,3762,KE,ZV
MHk 32 Liptovský Mikuláš,HKM Zvolen,0,3,," Štvrtok 24.01.2019, 17:00"," 46. kolo, Číslo zápasu 271", ZŠ Spišská Nová Ves, 183 divákov,1/24/2019 17:00,183,LM,ZV
HC 07 Detva ,HC Košice,4,2,," Piatok 25.01.2019, 18:00"," 46. kolo, Číslo zápasu 272", ZŠ Detva, 439 divákov,1/25/2019 18:00,439,DT,KE
DVTK Jegesmedvék Miskolc,MsHK DOXXbet Žilina,6,4,," Piatok 25.01.2019, 18:30"," 46. kolo, Číslo zápasu 273"," Ice rink Miskolc, HUN", 1045 divákov,1/25/2019 18:30,1045,MI,ZI
MHC MIKRON Nové Zámky ,HK Nitra,2,1,," Piatok 25.01.2019, 18:30"," 46. kolo, Číslo zápasu 274", ZŠ Nové Zámky, 1769 divákov,1/25/2019 18:30,1769,NZ,NR
HK Poprad,MAC Újbuda ,3,2,pp," Piatok 25.01.2019, 17:00"," 46. kolo, Číslo zápasu 275", ZŠ Poprad, 1296 divákov,1/25/2019 17:00,1296,PP,BU
HC ‘05 iClinic Banská Bystrica,HK DUKLA Trenčín,2,1,pp," Piatok 25.01.2019, 17:30"," 46. kolo, Číslo zápasu 276", ZŠ Banská Bystrica, 2590 divákov,1/25/2019 17:30,2590,BB,TN
HK DUKLA Trenčín,MHk 32 Liptovský Mikuláš,6,1,," Piatok 18.01.2019, 18:00"," 47. kolo, Číslo zápasu 277"," ZŠ Pavla Demitru, Trenčín", 2469 divákov,1/18/2019 18:00,2469,TN,LM
MAC Újbuda ,HC ‘05 iClinic Banská Bystrica,3,4,," Piatok 18.01.2019, 19:00"," 47. kolo, Číslo zápasu 278"," Ice rink MAC Budapest, HUN", 650 divákov,1/18/2019 19:00,650,BU,BB
HK Nitra,HK Poprad,3,5,," Piatok 18.01.2019, 18:00"," 47. kolo, Číslo zápasu 279", Nitra Aréna, 1972 divákov,1/18/2019 18:00,1972,NR,PP
MsHK DOXXbet Žilina,MHC MIKRON Nové Zámky ,3,2,sn," Piatok 18.01.2019, 17:30"," 47. kolo, Číslo zápasu 280", ZŠ Žilina, 436 divákov,1/18/2019 17:30,436,ZI,NZ
HC Košice,DVTK Jegesmedvék Miskolc,3,1,," Piatok 18.01.2019, 17:30"," 47. kolo, Číslo zápasu 281", STEEL Arena Košice, 3599 divákov,1/18/2019 17:30,3599,KE,MI
HKM Zvolen,HC 07 Detva ,3,2,pp," Piatok 18.01.2019, 18:00"," 47. kolo, Číslo zápasu 282", ZŠ Zvolen, 2770 divákov,1/18/2019 18:00,2770,ZV,DT
MHk 32 Liptovský Mikuláš,HC 07 Detva ,2,3,," Piatok 01.02.2019, 17:00"," 48. kolo, Číslo zápasu 283", ZŠ Lipt. Mikuláš, 2360 divákov,2/1/2019 17:00,2360,LM,DT
DVTK Jegesmedvék Miskolc,HKM Zvolen,3,4,sn," Piatok 01.02.2019, 18:30"," 48. kolo, Číslo zápasu 284"," Ice rink Miskolc, HUN", 1295 divákov,2/1/2019 18:30,1295,MI,ZV
MHC MIKRON Nové Zámky ,HC Košice,2,3,pp," Piatok 01.02.2019, 18:30"," 48. kolo, Číslo zápasu 285", ZŠ Nové Zámky, 1258 divákov,2/1/2019 18:30,1258,NZ,KE
HK Poprad,MsHK DOXXbet Žilina,5,4,pp," Piatok 01.02.2019, 17:00"," 48. kolo, Číslo zápasu 286", ZŠ Poprad, 1180 divákov,2/1/2019 17:00,1180,PP,ZI
HC ‘05 iClinic Banská Bystrica,HK Nitra,3,2,," Piatok 01.02.2019, 17:30"," 48. kolo, Číslo zápasu 287", ZŠ Banská Bystrica, 2678 divákov,2/1/2019 17:30,2678,BB,NR
HK DUKLA Trenčín,MAC Újbuda ,8,1,," Piatok 01.02.2019, 18:00"," 48. kolo, Číslo zápasu 288"," ZŠ Pavla Demitru, Trenčín", 2053 divákov,2/1/2019 18:00,2053,TN,BU
MAC Újbuda ,MHk 32 Liptovský Mikuláš,6,5,," Utorok 08.01.2019, 19:00"," 49. kolo, Číslo zápasu 289"," Ice rink MAC Budapest, HUN", 450 divákov,1/8/2019 19:00,450,BU,LM
HK Nitra,HK DUKLA Trenčín,3,1,," Utorok 08.01.2019, 18:00"," 49. kolo, Číslo zápasu 290", Nitra Aréna, 1395 divákov,1/8/2019 18:00,1395,NR,TN
MsHK DOXXbet Žilina,HC ‘05 iClinic Banská Bystrica,4,5,pp," Utorok 08.01.2019, 17:30"," 49. kolo, Číslo zápasu 291", ZŠ Žilina, 367 divákov,1/8/2019 17:30,367,ZI,BB
HC Košice,HK Poprad,3,5,," Utorok 08.01.2019, 17:30"," 49. kolo, Číslo zápasu 292", STEEL Arena Košice, 3045 divákov,1/8/2019 17:30,3045,KE,PP
HKM Zvolen,MHC MIKRON Nové Zámky ,1,0,," Utorok 08.01.2019, 18:00"," 49. kolo, Číslo zápasu 293", ZŠ Zvolen, 928 divákov,1/8/2019 18:00,928,ZV,NZ
HC 07 Detva ,DVTK Jegesmedvék Miskolc,2,1,sn," Utorok 08.01.2019, 18:00"," 49. kolo, Číslo zápasu 294", ZŠ Detva, 334 divákov,1/8/2019 18:00,334,DT,MI
HC ‘05 iClinic Banská Bystrica,HK Nitra,2,3,pp," Piatok 08.09.2017, 17:30"," 1. kolo, Číslo zápasu 1", ZŠ Banská Bystrica, 2548 divákov,9/8/2017 17:30,2548,BB,NR
MsHK DOXXbet Žilina,HK Poprad,1,2,pp," Piatok 08.09.2017, 18:00"," 1. kolo, Číslo zápasu 2", _,Prehľad,9/8/2017 18:00,,ZI,PP
HK DUKLA Trenčín,MHK 32 Liptovský Mikuláš,4,1,," Piatok 08.09.2017, 18:00"," 1. kolo, Číslo zápasu 3"," ZŠ Pavla Demitru, Trenčín", 1965 divákov,9/8/2017 18:00,1965,TN,LM
HC Košice,HC 07 Detva,1,0,," Piatok 08.09.2017, 18:30"," 1. kolo, Číslo zápasu 4", STEEL Arena Košice, 4327 divákov,9/8/2017 18:30,4327,KE,DT
HC Nové Zámky ,HKM Zvolen,5,1,," Piatok 08.09.2017, 18:30"," 1. kolo, Číslo zápasu 5", ZŠ Nové Zámky, 1852 divákov,9/8/2017 18:30,1852,NZ,ZV
